country;h_rank;h_score;year;hdi_rank;hdi_score
Switzerland;1;7.587;2015;2;0.947
Iceland;2;7.561;2015;4;0.934
Denmark;3;7.527;2015;10;0.933
Norway;4;7.522;2015;1;0.947
Canada;5;7.427;2015;16;0.921
Finland;6;7.406;2015;11;0.930
Netherlands;7;7.378;2015;8;0.934
Sweden;8;7.364;2015;7;0.938
New Zealand;9;7.286;2015;14;0.921
Australia;10;7.284;2015;8;0.938
Israel;11;7.278;2015;19;0.910
Costa Rica;12;7.226;2015;62;0.797
Austria;13;7.2;2015;18;0.915
Mexico;14;7.187;2015;74;0.766
United States;15;7.119;2015;17;0.921
Brazil;16;6.983;2015;84;0.756
Luxembourg;17;6.946;2015;23;0.906
Ireland;18;6.94;2015;2;0.935
Belgium;19;6.937;2015;14;0.922
United Arab Emirates;20;6.901;2015;31;0.859
United Kingdom;21;6.867;2015;13;0.923
Oman;22;6.853;2015;60;0.814
Singapore;24;6.798;2015;11;0.931
Panama;25;6.786;2015;57;0.799
Germany;26;6.75;2015;6;0.938
Chile;27;6.67;2015;43;0.842
Qatar;28;6.611;2015;45;0.839
France;29;6.575;2015;26;0.895
Argentina;30;6.574;2015;46;0.840
Uruguay;32;6.485;2015;55;0.806
Colombia;33;6.477;2015;83;0.756
Thailand;34;6.455;2015;79;0.749
Saudi Arabia;35;6.411;2015;40;0.859
Spain;36;6.329;2015;25;0.895
Malta;37;6.302;2015;28;0.880
Kuwait;39;6.295;2015;64;0.801
Suriname;40;6.269;2015;97;0.740
Trinidad and Tobago;41;6.168;2015;67;0.792
El Salvador;42;6.13;2015;124;0.668
Guatemala;43;6.123;2015;127;0.652
Uzbekistan;44;6.003;2015;106;0.701
Slovakia;45;5.995;2015;39;0.850
Japan;46;5.987;2015;19;0.908
Ecuador;48;5.975;2015;86;0.764
Bahrain;49;5.96;2015;42;0.848
Italy;50;5.948;2015;29;0.882
Paraguay;53;5.878;2015;103;0.721
Kazakhstan;54;5.855;2015;51;0.806
Slovenia;55;5.848;2015;22;0.894
Lithuania;56;5.833;2015;34;0.862
Nicaragua;57;5.828;2015;128;0.652
Peru;58;5.824;2015;79;0.759
Belarus;59;5.813;2015;53;0.814
Poland;60;5.791;2015;35;0.863
Malaysia;61;5.77;2015;62;0.796
Croatia;62;5.759;2015;43;0.840
Libya;63;5.754;2015;105;0.697
Jamaica;65;5.709;2015;101;0.731
Cyprus;67;5.689;2015;33;0.865
Algeria;68;5.605;2015;91;0.740
Turkmenistan;70;5.548;2015;111;0.694
Mauritius;71;5.477;2015;66;0.789
Estonia;73;5.429;2015;29;0.877
Indonesia;74;5.399;2015;107;0.695
Turkey;76;5.332;2015;54;0.801
Kyrgyzstan;77;5.286;2015;120;0.690
Nigeria;78;5.268;2015;161;0.526
Bhutan;79;5.253;2015;129;0.628
Azerbaijan;80;5.212;2015;88;0.744
Pakistan;81;5.194;2015;154;0.536
Jordan;82;5.192;2015;102;0.730
Montenegro;82;5.192;2015;48;0.816
China;84;5.14;2015;85;0.739
Zambia;85;5.129;2015;146;0.569
Romania;86;5.124;2015;49;0.815
Serbia;87;5.123;2015;64;0.789
Portugal;88;5.102;2015;38;0.854
Latvia;89;5.098;2015;37;0.849
Philippines;90;5.073;2015;107;0.701
Morocco;92;5.013;2015;121;0.658
Mozambique;94;4.971;2015;181;0.433
Albania;95;4.959;2015;69;0.788
Bosnia and Herzegovina;96;4.949;2015;73;0.761
Lesotho;97;4.898;2015;165;0.503
Dominican Republic;98;4.885;2015;88;0.738
Mongolia;100;4.874;2015;99;0.735
Greece;102;4.857;2015;32;0.877
Lebanon;103;4.839;2015;92;0.744
Hungary;104;4.8;2015;40;0.842
Honduras;105;4.788;2015;132;0.618
Tajikistan;106;4.786;2015;125;0.652
Tunisia;107;4.739;2015;95;0.729
Bangladesh;109;4.694;2015;133;0.595
Ukraine;111;4.681;2015;74;0.765
Iraq;112;4.677;2015;123;0.649
South Africa;113;4.642;2015;114;0.701
Ghana;114;4.633;2015;138;0.590
Zimbabwe;115;4.61;2015;150;0.553
Liberia;116;4.571;2015;175;0.477
India;117;4.565;2015;131;0.624
Sudan;118;4.55;2015;170;0.504
Haiti;119;4.518;2015;170;0.496
Nepal;121;4.514;2015;142;0.583
Ethiopia;122;4.512;2015;173;0.462
Sierra Leone;123;4.507;2015;182;0.431
Mauritania;124;4.436;2015;157;0.536
Kenya;125;4.419;2015;143;0.587
Djibouti;126;4.369;2015;166;0.499
Armenia;127;4.35;2015;81;0.768
Botswana;128;4.332;2015;100;0.717
Myanmar;129;4.307;2015;147;0.557
Georgia;130;4.297;2015;61;0.790
Malawi;131;4.292;2015;174;0.468
Sri Lanka;132;4.271;2015;72;0.776
Cameroon;133;4.252;2015;153;0.549
Bulgaria;134;4.218;2015;56;0.809
Egypt;135;4.194;2015;116;0.691
Yemen;136;4.077;2015;179;0.483
Angola;137;4.033;2015;148;0.572
Mali;138;3.995;2015;184;0.417
Comoros;140;3.956;2015;156;0.545
Uganda;141;3.931;2015;159;0.525
Senegal;142;3.904;2015;168;0.506
Gabon;143;3.896;2015;119;0.685
Niger;144;3.845;2015;189;0.372
Cambodia;145;3.819;2015;144;0.570
Madagascar;147;3.681;2015;164;0.522
Central African Republic;148;3.678;2015;188;0.375
Chad;149;3.667;2015;187;0.398
Guinea;150;3.656;2015;178;0.457
